Collection Name,Title#1,Title#1$1,Title#1$2,Creator#1,Creator#2$2,Creator#2$1,Creator#2,Creator#3,Subject#1$10,Subject#1$11,Subject#1$12,Subject#1$13,Subject#1$14,Subject#1$15,Subject#1$1,Subject#1$3,Subject#1$2,Subject#1$5,Subject#1$4,Subject#1$7,Subject#1$6,Subject#1$9,Subject#1$8,Subject#1,Subject#2,Subject#2$2,Subject#2$1,Subject#2$3,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Description#4,Description#5,Description#6,Publisher#1,Contributor#1,Contributor#1$1,Contributor#1$2,Contributor#1$5,Contributor#1$3,Contributor#1$4,Contributor#2$1,Contributor#2$2,Contributor#2$3,Contributor#2,Contributor#3,Contributor#4,Contributor#5,Contributor#6,Contributor#7,Date#1$1,Date#1$3,Date#1$2,Date#1,Type#1,Format#1,Identifier#1,Source#1,Language#1,Relation#1,Relation Type#1,Relation href#1,Relation#2,Relation Type#2,Relation href#2,Relation#3,Relation Type#3,Relation href#3,Relation#4,Relation Type#4,Relation href#4,Relation#5,Relation Type#5,Relation href#5,Relation#6,Relation Type#6,Relation href#6,Coverage (Spatial)#1,Coverage (Spatial)#1$14,Coverage (Spatial)#1$15,Coverage (Spatial)#1$10,Coverage (Spatial)#1$11,Coverage (Spatial)#1$12,Coverage (Spatial)#1$13,Coverage (Spatial)#1$3,Coverage (Spatial)#1$4,Coverage (Spatial)#1$1,Coverage (Spatial)#1$2,Coverage (Spatial)#1$7,Coverage (Spatial)#1$8,Coverage (Spatial)#1$5,Coverage (Spatial)#1$6,Coverage (Spatial)#1$9,Coverage (Temporal)#1$1,Coverage (Temporal)#1$2,Coverage (Temporal)#1,Coverage (Spatial)#2,Coverage (Temporal)#2,Coverage (Temporal)#3,Coverage (Temporal)#4,Rights#1,Editing notes#1$1,Editing notes#1$2,Editing notes#1,Sort#1,Editing notes#2,Sort#2,Editing notes#3,Sort#3
Colorado Coal Project,Reestablishing peace after the Ludlow Massacre,,,"Margolis, Eric, 1947-",,,"McMahan, Ronald L.",,,,,,,,,,,,,,,,,Coal mines and mining,"Ludlow Massacre, Colo., 1913-1914",,,,Intervention (Federal government) -- United States,Labor movement -- United States,"Garrison, Lindley M. (Lindley Miller), 1864-1932","Holbrook, Williard (Major)",,,,,,"""This paper was originally presented as 'The Governor, The Secretary of War, and the Colorado Coal Strike of 1914' at … the 1976 Western History Association Annual Conference, … [in] Denver, Colorado."" It gives an account of the time after the Ludlow Massacre when the Governor of Colorado was unable to restore peace to mining towns and he reluctantly asked federal troops for help. The deployment was managed directly by the Secretary of War, Lindley Garrison, and handled locally by Major Williard Holbrook. Soldiers closed saloons and gun shops, disarmed both the striking miners and some of the police, and guarded mining towns. They remained entirely neutral, President Wilson stressing that Colorado needed to resolve the actual labor issues itself. The occupation, which lasted until January 1915, is portrayed as a rare but necessary means to quell ""domestic violence.""",summary,,,,,,,,University of Colorado Boulder Archives,"Albright, Joan",,,,,,,,,,,,,,,,,,1976,Text,text/pdf,narv_coloradoCoal_transAlbright,Colorado Coal Project Collection,English,,,,,,,,,,,,,,,,,,,,,,,,,,"Trinidad, CO",,Colorado,"Ludlow, CO",,,,,,,,1914,,,,,,,,,albright_a_m1,,,,
Colorado Coal Project,Close up of retired miner,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,Close up of retired miner (Claude or Lawrence Amicarella),,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-30,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired coal miners being interviewed,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Retired coal miners, Claude and Lawrence Amicarella, being interviewed on their porch.",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-32,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired coal miners being interviewed,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Retired coal miners, Claude and Lawrence Amicarella being interviewed in their living room.",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-34,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired miners being interviewed,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Retired coal miners, Claude and Lawrence Amicarella, being interviewed in their living room.",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-36,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired miners being interviewed,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Retired miners, Claude and Lawrence Amicarella, being interviewed on their porch",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-38,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired miner being interviewed,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Retired miner, Claude or  Lawrence Amicarella, being interviewed",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP51-40,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Retired coal miner,,,,,,,,,,,,,,,,,,,,,,,Coal miners,,,,,,,,,,,,,,"Close up of Claude or Lawrence Amicarella, retired coal miner, speaking about his experience as a miner.",,,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP52-2,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,,,,,,,,,,,,,,,,,,,,,,,,personalities: male,,,,,,,,,,,,,,human interest,,Claude & Lawrence Amicarella,,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,,Image,jpeg,CCMP52-5,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,1970s,,,,,,,,,,,
Colorado Coal Project,Coal mining in Weld County (Part 2 of 3),,,"Margolis, Eric, 1947-",,,"McMahan, Ronald L.",,,,,,,,,,,,,,,,,Coal mines and mining,Coal miners -- Labor unions -- Colorado,,,,"Columbine Mine (Weld County, Colo.)",Coal miners -- United States -- Health and hygiene,Free enterprise -- United States -- Public opinion,Quality of life -- United States,Coal miners -- Personal narratives,,,,,"Two retired coal miners recount their coal mining days. They talk about working and living conditions and give examples of the prejudice held toward miners during the forties and fifties. They share their views on corrupt United Mine Workers officials, the incompetence of mine superintendents, bad management decisions, e.g. bringing in machinery that was too big for a mine. They believe that a free enterprise system should include the right to form labor unions and that all natural resources should be nationalized. They recall buying a company house, paying the weighman to be accurate, and surviving on low wages by working overtime. By comparison, they say, Western miners were highly mobile, while a sense of being stuck prevailed in the Eastern mining towns. It perplexes them why miners are considered ""undesirables"" when their lives were hard and their services indispensable.",summary,"Begins on p. 36 of first pdf, Amicarella1 10 min: Lack of representation for modern coal miners in their unions = p. 41 of pdf 20 min: Difficulties for modern miners; their experiences with new mining machinery = p. 46 of pdf 30 min: Poor mining regulations can ruin mines and environment, for fast profit = p. 51 of pdf 40 min: Management decisions caused poor working conditions for these miners = p. 57 of pdf 50 min: Strike of 1927; the UMWA and unions in the West = p. 63 of pdf 60 min: Although mining is an honorable occupation, working conditions have never been good = p. 67 of pdf Transcript, part 1 ends 66 min: Discussing black lung disease = Transcript, part 2: p. 2 of pdf",segmentSequence,,,,,,University of Colorado Boulder Archives,"Amicarella, Claude 1911-1986",,,,,,,,,"Amicarella, Lawrence 1902-1988",,,,,,,,,2/21/1978,MovingImage,video/mp4,133-Amicarella,Colorado Coal Project Collection,English,narv_coloradoCoal_transAmicarella1,relatedTo,http://cudl.colorado.edu/luna/servlet/s/cx61pc,narv_coloradoCoal_transAmicarella2,derivedFrom,http://cudl.colorado.edu/luna/servlet/s/7yxdfu,132-Amicarella,relatedTo,http://cudl.colorado.edu/luna/servlet/s/0qix04,134-Amicarella,relatedTo,http://cudl.colorado.edu/luna/servlet/s/7n9g5y,,,,,,,,,,,,,,"Columbine Mine, Weld County, CO","Weld County, CO","Boulder County, CO",Colorado,,,,,,,,1920/1978,,,,,,,,"CAH; JZ: One interview recorded in 3 videos (#132, 133, 134) and transcribed in 2 parts. First 57 min of this video in transcript Amicarella1. Last 9 min of this video in transcript Amicarella2. 21 Feb. 2014",amicarella_a_m2,,,,
